id,shape
1220019801,"2233.29,1162.01 2266.30,1067.82"
1220019802,"2141.19,1420.24 2224.53,1186.76"
1220019901,"2286.68,1074.96 2253.67,1169.16"
1220019902,"2244.88,1194.02 2161.54,1427.50"
1220020600,"2124.86,1439.91 1639.11,1267.41"
1220020700,"1644.20,1253.08 2129.95,1425.58"
1220020801,"2938.70,1309.63 2821.92,1261.10"
1220020802,"3064.35,1360.48 2963.23,1319.66"
1220020803,"3331.35,1466.10 3088.84,1370.26"
1220020901,"2830.22,1241.14 2946.99,1289.69"
1220020902,"2971.32,1299.63 3072.44,1340.45"
1220020903,"3096.78,1350.17 3339.29,1446.01"
1220021001,"1241.25,1309.15 1296.76,1154.67"
1220021002,"1173.95,1507.52 1235.34,1335.20"
1220021003,"1118.28,1671.59 1173.77,1508.01"
1220021101,"1326.12,1165.21 1270.62,1319.70"
1220021102,"1264.73,1345.67 1203.33,1517.99"
1220021103,"1203.32,1518.04 1147.82,1681.62"
1220021202,"4399.07,1310.33 4286.97,1273.07 4279.49,1270.01"
1220021203,"4833.51,1461.69 4423.94,1318.80"
1220021301,"4290.10,1244.09 4296.70,1246.79 4407.90,1283.76"
1220021302,"4433.16,1292.36 4842.73,1435.26"
1220021401,"2765.92,1308.48 2783.81,1257.75"
1220021402,"2740.61,1380.26 2757.14,1333.37"
1220021403,"2693.77,1516.76 2731.59,1406.21"
1220021404,"2628.31,1703.84 2684.16,1544.50"
1220021501,"2810.21,1267.07 2792.32,1317.79"
1220021502,"2783.54,1342.68 2767.01,1389.57"
1220021503,"2758.08,1415.27 2720.25,1525.82"
1220021504,"2710.59,1553.77 2654.73,1713.11"
1220021600,"1427.06,1780.93 1476.34,1646.69 1613.44,1267.59"
1220021700,"1627.74,1272.76 1490.61,1651.90 1441.33,1786.17"
1220021801,"4194.26,1384.29 4242.02,1264.50"
1220021802,"4066.43,1712.75 4187.45,1409.97"
1220021902,"4268.03,1274.88 4220.27,1394.66"
1220021903,"4210.48,1419.17 4089.46,1721.95"
1220022200,"2608.81,1721.19 2167.82,1459.65 2161.41,1456.22"
1220022300,"2168.58,1442.83 2175.29,1446.42 2616.56,1708.12"
1220022501,"3500.65,1529.76 3368.90,1480.53"
1220022503,"4046.44,1738.02 3896.50,1683.02"
1220022504,"3871.33,1673.51 3654.42,1589.28"
1220022505,"3654.42,1589.28 3525.23,1539.12"
1220022601,"3376.46,1460.30 3508.21,1509.53"
1220022603,"3903.94,1662.73 4053.87,1717.74"
1220022604,"3533.05,1518.98 3662.24,1569.15"
1220022605,"3662.24,1569.15 3879.15,1653.37"
1220022700,"5737.88,1770.56 5596.21,1720.25"
1220022901,"2001.63,1816.75 2129.38,1453.58"
1220022902,"1949.23,1969.93 1991.98,1844.67"
1220023001,"2149.76,1460.75 2022.01,1823.92"
1220023002,"2012.42,1851.65 1969.67,1976.91"
1220023101,"3296.11,1594.13 3337.25,1478.54"
1220023102,"3246.80,1729.74 3286.77,1620.06"
1220023103,"3202.79,1853.79 3237.89,1754.54"
1220023104,"3178.65,1920.40 3193.94,1878.41"
1220023201,"3357.61,1485.79 3316.45,1601.38"
1220023202,"3307.07,1627.46 3267.09,1737.13"
1220023203,"3258.25,1761.74 3223.15,1861.00"
1220023204,"3214.24,1885.81 3198.94,1927.79"
1220023302,"1406.34,1812.72 1144.03,1719.24"
1220023402,"1153.43,1692.86 1415.74,1786.34"
1220023801,"2883.07,1832.24 2653.63,1743.22"
1220023802,"3161.85,1939.73 2907.72,1841.77"
1220023901,"2659.13,1729.04 2888.56,1818.06"
1220023902,"2913.19,1827.58 3167.31,1925.55"
1220024001,"1668.03,1908.00 1436.98,1823.76"
1220024002,"1818.38,1962.10 1696.68,1918.37"
1220024003,"1928.54,2001.68 1848.36,1972.87"
1220024101,"1446.57,1797.46 1677.62,1881.70"
1220024102,"1706.15,1892.02 1827.85,1935.75"
1220024103,"1857.83,1946.52 1938.01,1975.33"
1220024203,"4212.17,1804.47 4086.22,1753.42"
1220024204,"4625.49,1960.75 4409.53,1881.62"
1220024205,"4409.53,1881.62 4336.40,1854.83 4212.17,1804.47"
1220024302,"4094.33,1733.40 4220.28,1784.45"
1220024304,"4220.28,1784.45 4344.18,1834.67 4416.96,1861.34"
1220024305,"4416.96,1861.34 4632.93,1940.46"
1220024400,"5993.94,1862.19 5744.47,1776.26"
1220024500,"5751.51,1755.83 6000.97,1841.76"
1220024601,"2514.02,2027.65 2615.91,1739.10"
1220024602,"2468.63,2156.98 2505.24,2052.62"
